Star	HD	RA	dec	Vmag	Vmagerr	par	parerr	source	teff	tefferr	logg	loggerr	logglc	logglcerr	vt	vterr	feh	feherr	mass	masserr	Author	link	flag	updated	Comment	tmp
Kepler-234	NULL	19 26 36.84	+38 29 40.77	NULL	NULL	NULL	NULL	Spec	6224	200	4.42	0.3	NULL	NULL	NULL	NULL	0.07	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-235	NULL	19 4 18.98	+39 16 41.93	NULL	NULL	NULL	NULL	Spec	4255	100	4.73	0.15	NULL	NULL	NULL	NULL	-0.16	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-236	NULL	18 55 27.93	+39 53 53.12	NULL	NULL	NULL	NULL	Spec	3750	150	4.75	0.2	NULL	NULL	NULL	NULL	0.08	0.15	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-237	NULL	18 52 53.13	+40 25 18.60	NULL	NULL	NULL	NULL	Spec	4861	200	4.58	0.3	NULL	NULL	NULL	NULL	-0.08	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-238	NULL	19 11 35.31	+40 38 16.14	NULL	NULL	NULL	NULL	Spec	NULL	NULL	4.55	0.3	NULL	NULL	NULL	NULL	NULL	NULL	1.43	1.31	Xie 2013	http://adsabs.harvard.edu/abs/2014ApJS..210...25X	0	2014-01-20	NULL	NULL
Kepler-239	NULL	19 36 48.52	+40 39 48.26	NULL	NULL	NULL	NULL	Spec	4914	100	4.58	0.15	NULL	NULL	NULL	NULL	0.12	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-24	NULL	19 21 39.18	+38 20 37.51	15.5	NULL	NULL	NULL	Spec	5800	200	4.34	0.3	NULL	NULL	NULL	NULL	-0.24	0.4	1.03	0.11	Ford et al. 2012	http://adsabs.harvard.edu/abs/2012ApJ...750..113F	NULL	2013-02-26	NULL	NULL
Kepler-240	NULL	19 24 38.11	+40 45 00.95	NULL	NULL	NULL	NULL	Spec	4985	200	4.63	0.3	NULL	NULL	NULL	NULL	0.09	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-241	NULL	19 31 39.15	+41 03 39.32	NULL	NULL	NULL	NULL	Spec	4699	200	4.63	0.3	NULL	NULL	NULL	NULL	-0.24	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-242	NULL	19 6 15.77	+41 48 30.25	NULL	NULL	NULL	NULL	Spec	5020	200	4.49	0.3	NULL	NULL	NULL	NULL	0.1	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-243	NULL	19 0 26.51	+42 02 02.25	NULL	NULL	NULL	NULL	Spec	5228	200	4.57	0.3	NULL	NULL	NULL	NULL	0.24	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-244	NULL	19 8 58.24	+42 18 04.93	NULL	NULL	NULL	NULL	Spec	5554	200	4.59	0.3	NULL	NULL	NULL	NULL	-0.19	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-245	NULL	19 26 33.35	+42 26 10.74	NULL	NULL	NULL	NULL	Spec	5100	100	4.56	0.15	NULL	NULL	NULL	NULL	0.03	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-246	NULL	19 45 56.02	+42 39 48.34	NULL	NULL	NULL	NULL	Spec	5206	200	4.56	0.3	NULL	NULL	NULL	NULL	0.14	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-247	NULL	19 14 34.2	+43 02 21.45	NULL	NULL	NULL	NULL	Spec	5100	200	4.61	0.3	NULL	NULL	NULL	NULL	0.17	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-248	NULL	19 32 14.73	+43 34 52.88	NULL	NULL	NULL	NULL	Spec	5190	161	4.57	0.2	NULL	NULL	NULL	NULL	0.34	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-249	NULL	19 47 56.42	+43 39 30.69	NULL	NULL	NULL	NULL	Spec	3568	150	4.78	0.2	NULL	NULL	NULL	NULL	0.02	0.15	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-25	NULL	19 06 33.22	+39 29 16.32	10.77	0.06	NULL	NULL	Spec	6190	80	4.23	0.07	NULL	NULL	NULL	NULL	0.01	0.09	1.22	0.06	Steffen et al. 2012	http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S	NULL	2013-02-26	NULL	NULL
Kepler-250	NULL	19 18 22.74	+44 08 31.03	NULL	NULL	NULL	NULL	Spec	5160	200	4.57	0.3	NULL	NULL	NULL	NULL	0.06	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-251	NULL	19 46 15.89	+44 06 21.11	NULL	NULL	NULL	NULL	Spec	5526	100	4.49	0.15	NULL	NULL	NULL	NULL	-0.18	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-252	NULL	19 42 19.04	+44 32 45.47	NULL	NULL	NULL	NULL	Spec	4208	150	4.72	0.2	NULL	NULL	NULL	NULL	-0.19	0.15	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-253	NULL	19 27 22.08	+44 51 29.12	NULL	NULL	NULL	NULL	Spec	5208	200	4.6	0.3	NULL	NULL	NULL	NULL	0.05	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-254	NULL	19 12 39.53	+45 48 59.42	NULL	NULL	NULL	NULL	Spec	5957	200	4.52	0.3	NULL	NULL	NULL	NULL	-0.19	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-255	NULL	19 44 15.42	+45 58 36.63	NULL	NULL	NULL	NULL	Spec	5573	200	4.52	0.3	NULL	NULL	NULL	NULL	0.21	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-256	NULL	19 30 19.31	+46 05 50.60	NULL	NULL	NULL	NULL	Spec	5551	111	4.22	0.19	NULL	NULL	NULL	NULL	0.17	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-257	NULL	19 49 15.83	+46 01 23.77	NULL	NULL	NULL	NULL	Spec	5180	200	4.36	0.3	NULL	NULL	NULL	NULL	0.32	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-258	NULL	19 36 16.44	+46 34 45.59	NULL	NULL	NULL	NULL	Spec	4942	200	4.44	0.3	NULL	NULL	NULL	NULL	0.41	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-259	NULL	19 12 50.86	+46 36 54.02	NULL	NULL	NULL	NULL	Spec	5938	200	4.53	0.3	NULL	NULL	NULL	NULL	-0.17	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-26	NULL	18 59 45.83	+46 33 59.54	16	NULL	NULL	NULL	Spec	4500	100	4.5	0.2	NULL	NULL	NULL	NULL	-0.21	0.08	0.65	0.03	Steffen et al. 2012	http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S	NULL	2013-02-26	NULL	NULL
Kepler-260	NULL	19 27 42.23	+38 00 50.84	NULL	NULL	NULL	NULL	Spec	5250	257	4.49	0.2	NULL	NULL	NULL	NULL	0	0.21	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-261	NULL	19 25 27.55	+37 36 33.06	NULL	NULL	NULL	NULL	Spec	5098	100	4.56	0.15	NULL	NULL	NULL	NULL	0.03	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-262	NULL	19 22 54.88	+37 15 09.54	NULL	NULL	NULL	NULL	Spec	5841	200	4.54	0.3	NULL	NULL	NULL	NULL	-0.12	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-263	NULL	19 29 52.74	+37 34 04.06	NULL	NULL	NULL	NULL	Spec	5265	200	4.58	0.3	NULL	NULL	NULL	NULL	-0.11	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-264	NULL	19 28 10.71	+37 22 34.49	NULL	NULL	NULL	NULL	Spec	6158	100	4.15	0.15	NULL	NULL	NULL	NULL	0	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-265	NULL	19 22 2.51	+41 14 41.35	NULL	NULL	NULL	NULL	Spec	5835	118	4.33	0.15	NULL	NULL	NULL	NULL	-0.28	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-266	NULL	19 37 56.25	+44 10 00.90	NULL	NULL	NULL	NULL	Spec	5885	250	4.45	0.3	NULL	NULL	NULL	NULL	0.11	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-267	NULL	19 59 19.29	+47 09 26.85	NULL	NULL	NULL	NULL	Spec	4258	100	4.73	0.15	NULL	NULL	NULL	NULL	-0.16	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-268	NULL	19 27 54.28	+38 03 18.28	NULL	NULL	NULL	NULL	Spec	6081	100	4.29	0.15	NULL	NULL	NULL	NULL	-0.02	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-269	NULL	19 20 51.64	+41 46 33.48	NULL	NULL	NULL	NULL	Spec	5847	250	4.5	0.3	NULL	NULL	NULL	NULL	0.02	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-27	NULL	19 28 56.82	+41 05 09.15	NULL	NULL	NULL	NULL	Spec	5260	100	4.67	0.23	NULL	NULL	NULL	NULL	0.23	0.39	0.65	0.16	Steffen et al. 2012	http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S	NULL	2013-02-26	NULL	NULL
Kepler-270	NULL	18 48 48.02	+44 25 20.29	NULL	NULL	NULL	NULL	Spec	6067	100	4.2	0.15	NULL	NULL	NULL	NULL	0.11	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-271	NULL	18 52 0.72	+44 17 03.24	NULL	NULL	NULL	NULL	Spec	5524	100	4.49	0.15	NULL	NULL	NULL	NULL	-0.2	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-272	NULL	19 56 30.61	+47 35 37.79	NULL	NULL	NULL	NULL	Spec	5297	200	4.43	0.3	NULL	NULL	NULL	NULL	-0.16	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-273	NULL	19 25 12.53	+47 41 51.93	NULL	NULL	NULL	NULL	Spec	5626	200	4.51	0.3	NULL	NULL	NULL	NULL	-0.48	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-274	NULL	19 31 41.46	+38 28 38.19	NULL	NULL	NULL	NULL	Spec	6023	200	4.44	0.3	NULL	NULL	NULL	NULL	-0.19	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-275	NULL	19 29 55.13	+38 30 53.74	NULL	NULL	NULL	NULL	Spec	6165	100	4.23	0.15	NULL	NULL	NULL	NULL	-0.07	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-276	NULL	19 34 16.36	+39 02 10.77	NULL	NULL	NULL	NULL	Spec	NULL	NULL	4.47	0.15	NULL	NULL	NULL	NULL	NULL	NULL	0.96	0.36	Xie 2013	http://adsabs.harvard.edu/abs/2014ApJS..210...25X	0	2014-01-20	NULL	NULL
Kepler-277	NULL	19 06 19.96	+39 04 37.93	13.4	NULL	NULL	NULL	Spec	NULL	NULL	4.08	0.1	NULL	NULL	NULL	NULL	NULL	NULL	1.19	0.43	Xie 2013	http://adsabs.harvard.edu/abs/2014ApJS..210...25X	0	2014-01-20	NULL	NULL
Kepler-278	NULL	19 20 25.72	+38 42 08.05	NULL	NULL	NULL	NULL	Spec	4991	75	3.62	0.04	NULL	NULL	NULL	NULL	0.28	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-279	NULL	19 09 33.89	+42 11 41.41	13.7	NULL	NULL	NULL	Spec	NULL	NULL	4.35	0.3	NULL	NULL	NULL	NULL	NULL	NULL	1.23	0.89	Xie 2013	http://adsabs.harvard.edu/abs/2014ApJS..210...25X	0	2014-01-20	NULL	NULL
Kepler-28	NULL	19 28 32.88	+42 25 45.91	15.5	NULL	NULL	NULL	Spec	4590	NULL	4.29	NULL	NULL	NULL	NULL	NULL	0.34	NULL	0.75	NULL	Steffen et al. 2012	http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S	NULL	2013-02-26	NULL	NULL
Kepler-280	NULL	19 25 33.72	+42 10 50.12	NULL	NULL	NULL	NULL	Spec	5744	200	4.54	0.3	NULL	NULL	NULL	NULL	-0.17	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-281	NULL	19 36 25.96	+44 46 14.52	NULL	NULL	NULL	NULL	Spec	5723	200	4.53	0.3	NULL	NULL	NULL	NULL	0.01	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-282	NULL	18 58 42.55	+44 47 51.66	15.2	NULL	NULL	NULL	Spec	NULL	NULL	4.47	0.15	NULL	NULL	NULL	NULL	NULL	NULL	1.09	0.4	Xie 2013	http://adsabs.harvard.edu/abs/2014ApJS..210...25X	0	2014-01-20	NULL	NULL
Kepler-283	NULL	19 34 27.3	+47 50 20.39	NULL	NULL	NULL	NULL	Spec	4351	100	4.72	0.15	NULL	NULL	NULL	NULL	-0.2	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-284	NULL	19 32 35.16	+47 43 46.74	NULL	NULL	NULL	NULL	Spec	5615	200	4.58	0.3	NULL	NULL	NULL	NULL	-0.14	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-285	NULL	19 25 33.82	+48 03 56.19	NULL	NULL	NULL	NULL	Spec	5411	200	4.58	0.3	NULL	NULL	NULL	NULL	-0.06	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-286	NULL	19 22 42.28	+48 17 39.44	NULL	NULL	NULL	NULL	Spec	5580	131	4.5	0.15	NULL	NULL	NULL	NULL	-0.35	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-287	NULL	19 23 42.59	+48 26 36.78	NULL	NULL	NULL	NULL	Spec	5806	200	4.4	0.3	NULL	NULL	NULL	NULL	-0.08	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-288	NULL	19 15 39.94	+39 35 40.97	NULL	NULL	NULL	NULL	Spec	5918	250	4.35	0.3	NULL	NULL	NULL	NULL	-0.22	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-289	NULL	19 49 51.68	+42 52 58.26	NULL	NULL	NULL	NULL	Spec	5930	107	4.33	0.15	NULL	NULL	NULL	NULL	-0.06	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-29	NULL	19 53 23.59	+47 29 28.41	15.5	NULL	NULL	NULL	Spec	5750	250	5	0.25	NULL	NULL	NULL	NULL	0	0.3	1	0.12	Fabrycky et al. 2012	http://adsabs.harvard.edu/abs/2012ApJ...750..114F	NULL	2013-02-26	NULL	NULL
Kepler-290	NULL	19 5 38.39	+42 40 53.59	NULL	NULL	NULL	NULL	Spec	5147	200	4.62	0.3	NULL	NULL	NULL	NULL	-0.06	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-291	NULL	19 11 39.92	+42 26 14.29	NULL	NULL	NULL	NULL	Spec	6002	200	4.47	0.3	NULL	NULL	NULL	NULL	0.07	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-292	NULL	19 43 3.87	+42 25 27.43	NULL	NULL	NULL	NULL	Spec	5299	100	4.54	0.15	NULL	NULL	NULL	NULL	-0.09	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-293	NULL	19 5 25.94	+42 24 23.43	NULL	NULL	NULL	NULL	Spec	5804	200	4.5	0.3	NULL	NULL	NULL	NULL	0.13	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-294	NULL	19 9 34.08	+46 03 33.52	NULL	NULL	NULL	NULL	Spec	5913	200	4.49	0.3	NULL	NULL	NULL	NULL	0	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-295	NULL	19 01 23.01	+45 22 04.03	NULL	NULL	NULL	NULL	Spec	5603	200	4.44	0.3	NULL	NULL	NULL	NULL	-0.33	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-296	NULL	19 06 09.60	+49 26 14.37	NULL	NULL	NULL	NULL	Spec	4249	100	4.73	0.15	NULL	NULL	NULL	NULL	-0.12	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	M2	NULL
Kepler-297	NULL	18 52 50.2	+48 46 39.52	NULL	NULL	NULL	NULL	Spec	5619	100	4.47	0.15	NULL	NULL	NULL	NULL	-0.22	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-298	NULL	18 52 9.55	+48 49 31.29	NULL	NULL	NULL	NULL	Spec	4465	100	4.71	0.15	NULL	NULL	NULL	NULL	-0.24	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-299	NULL	18 52 49.67	+48 34 49.81	NULL	NULL	NULL	NULL	Spec	5617	112	4.39	0.15	NULL	NULL	NULL	NULL	-0.02	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-30	NULL	19 01 08.07	+38 56 50.26	15.5	NULL	NULL	NULL	Spec	5498	54	4.77	0.23	NULL	NULL	NULL	NULL	0.18	0.27	0.99	0.08	Sanchis-Ojeda et al. 2012	http://adsabs.harvard.edu/abs/2012Natur.487..449S	NULL	2013-02-26	NULL	NULL
Kepler-300	NULL	19 41 9.29	+48 35 58.99	NULL	NULL	NULL	NULL	Spec	5986	200	4.53	0.3	NULL	NULL	NULL	NULL	-0.24	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-301	NULL	18 55 55.91	+49 13 58.76	NULL	NULL	NULL	NULL	Spec	5815	200	4.53	0.3	NULL	NULL	NULL	NULL	-0.18	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-302	NULL	19 37 16.08	+43 37 45.64	NULL	NULL	NULL	NULL	Spec	5740	107	4.29	0.15	NULL	NULL	NULL	NULL	0.06	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-303	NULL	18 52 32.51	+43 39 25.40	NULL	NULL	NULL	NULL	Spec	3944	150	4.77	0.2	NULL	NULL	NULL	NULL	-0.36	0.15	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	M dwarf	NULL
Kepler-304	NULL	19 37 46.03	+40 33 27.31	NULL	NULL	NULL	NULL	Spec	4731	100	4.64	0.15	NULL	NULL	NULL	NULL	0.02	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-305	NULL	19 56 54.00	+40 20 35.00	15.8	NULL	NULL	NULL	Spec	NULL	NULL	4.51	0.3	NULL	NULL	NULL	NULL	NULL	NULL	0.83	0.54	Xie 2013	http://adsabs.harvard.edu/abs/2014ApJS..210...25X	0	2014-01-20	NULL	NULL
Kepler-306	NULL	19 14 9.28	+40 36 58.10	NULL	NULL	NULL	NULL	Spec	4954	100	4.61	0.15	NULL	NULL	NULL	NULL	-0.1	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-307	NULL	19 51 10.83	+40 25 03.75	14.1	NULL	NULL	NULL	Spec	NULL	NULL	4.34	0.3	NULL	NULL	NULL	NULL	NULL	NULL	0.78	0.55	Xie 2013	http://adsabs.harvard.edu/abs/2014ApJS..210...25X	0	2014-01-20	NULL	NULL
Kepler-308	NULL	19 43 8.44	+40 26 22.37	NULL	NULL	NULL	NULL	Spec	5895	200	4.51	0.3	NULL	NULL	NULL	NULL	-0.11	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-309	NULL	19 50 2.37	+46 57 40.61	NULL	NULL	NULL	NULL	Spec	4713	100	4.61	0.15	NULL	NULL	NULL	NULL	0.2	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-31	NULL	19 36 05.52	+45 51 11.09	15.5	NULL	NULL	NULL	Spec	6340	200	4.7	0.3	NULL	NULL	NULL	NULL	-0.08	0.4	1.21	0.17	Fabrycky et al. 2012	http://adsabs.harvard.edu/abs/2012ApJ...750..114F	NULL	2013-02-26	NULL	NULL
Kepler-310	NULL	19 15 21.45	+46 59 12.28	NULL	NULL	NULL	NULL	Spec	5797	200	4.52	0.3	NULL	NULL	NULL	NULL	-0.3	0.5	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-311	NULL	18 48 14.71	+47 05 07.77	NULL	NULL	NULL	NULL	Spec	5905	131	4.31	0.15	NULL	NULL	NULL	NULL	-0.09	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-312	NULL	19 53 34.99	+42 27 35.12	NULL	NULL	NULL	NULL	Spec	6115	100	4.19	0.15	NULL	NULL	NULL	NULL	0.05	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-313	NULL	19 53 10.78	+48 46 31.65	NULL	NULL	NULL	NULL	Spec	5727	100	4.13	0.15	NULL	NULL	NULL	NULL	0.21	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-314	NULL	19 38 41.78	+42 04 32.12	NULL	NULL	NULL	NULL	Spec	5378	100	4.47	0.15	NULL	NULL	NULL	NULL	0.26	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
Kepler-315	NULL	19 52 5.54	+43 21 48.68	NULL	NULL	NULL	NULL	Spec	5796	108	4.38	0.15	NULL	NULL	NULL	NULL	-0.25	0.1	NULL	NULL	Rowe et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1402.6534R	NULL	2014-03-07	NULL	NULL
